(49, 2.6400000000000001),
 (50, 2.5993846153846154),
 (51, 2.5587692307692307),
 (52, 2.5181538461538464),
 (53, 2.4775384615384617),
 (54, 2.436923076923077),
 (55, 2.3963076923076922),
 (56, 2.355692307692308),
 (57, 2.3150769230769233),
 (58, 2.2744615384615385),
 (59, 2.2338461538461538),
 (60, 2.1932307692307695),
 (61, 2.1526153846153848),
 (62, 2.1120000000000001),
 (63, 2.0713846153846154),
 (64, 2.0307692307692307),
 (65, 1.9901538461538464),
 (66, 1.9495384615384617),
 (67, 1.9089230769230769),
 (68, 1.8683076923076924),
 (69, 1.8276923076923079),
 (70, 1.7870769230769232),
 (71, 1.7464615384615385),
 (72, 1.705846153846154),
 (73, 1.6652307692307693),
 (74, 1.6246153846153848),
 (75, 1.5840000000000001),
 (76, 1.5433846153846156),
 (77, 1.5027692307692309),
 (78, 1.4621538461538464),
 (79, 1.4215384615384616),
 (80, 1.3809230769230771),
 (81, 1.3403076923076924),
 (82, 1.2996923076923077),
 (83, 1.2590769230769232),
 (84, 1.2184615384615385),
 (85, 1.177846153846154),
 (86, 1.1372307692307693),
 (87, 1.0966153846153848),
 (88, 1.056),
 (89, 1.0153846153846156),
 (90, 0.97476923076923083),
 (91, 0.93415384615384633),
 (92, 0.89353846153846161),
 (93, 0.85292307692307712),
 (94, 0.8123076923076924),
 (95, 0.7716923076923079),
 (96, 0.73107692307692318),
 (97, 0.69046153846153846),
 (98, 0.64984615384615396),
 (99, 0.60923076923076946),
 (100, 0.56861538461538474),
 (101, 0.52800000000000002),
 (102, 0.48738461538461531),
 (103, 0.44676923076923103),
 (104, 0.40615384615384631),
 (105, 0.36553846153846159),
 (106, 0.32492307692307687),
 (107, 0.28430769230769259),
 (108, 0.24369230769230787),
 (109, 0.20307692307692315),
 (110, 0.16246153846153844),
 (111, 0.12184615384615416),
 (112, 0.08123076923076944),
 (113, 0.04061538461538472),
 (114, 0.0)]
